Aconitum columbianum | Columbian Monkshood
Arabis blepharophylla | Coast Rock Cress
Argentina anserina | Silverweed
Armeria maritima | Sea Thrift
Calochortus ambiguus | Doubting Mariposa Lily
Calochortus nuttallii | Sego Lily
Campanula uniflora | Arctic Bellflower
Chamerion angustifolium | Fireweed
Chamerion latifolium | Dwarf Fireweed
Chlorogalum pomeridianum | Soap Plant
Darmera peltata | Umbrella Plant
Dichelostemma capitatum | Blue Dicks
Dryas octopetala | Mountain Avens
Epilobium obcordatum | Rockfringe Willowherb
Epilobium rigidum | Siskiyou Willowherb
Epilobium septentrionale | Humboldt County Fuchsia
Geum triflorum | Prairie Smoke
Hesperocallis undulata | Desert Lily
Kalmiopsis leachiana | Kalmiopsis
Lewisia cotyledon | Cliff Maids
Lewisia rediviva | Bitterroot
Luetkea pectinata | Partridgefoot
Minuartia obtusiloba | Alpine Sandwort
Nothochelone nemorosa | Woodland Beardtongue
Oxyria digyna | Mountain Sorrel
Phyllodoce empetriformis | Pink Mountain Heather
Potentilla gracilis | Slender Cinquefoil
Potentilla simplex | Common Cinquefoil
Potentilla thurberi | Scarlet Cinquefoil
Saxifraga bronchialis | Spotted Saxifrage
Saxifraga oppositifolia | Purple Mountain Saxifrage
Sibbaldiopsis tridentata | Three-toothed Cinquefoil
Tolmiea menziesii | Piggyback Plant
Trollius laxus | American Globeflower
Vancouveria chrysantha | Golden Inside-out Flower
Whipplea modesta | Modesty
Xerophyllum tenax | Beargrass
