Agave lechuguilla | Lechuguilla
Cylindropuntia acanthocarpa | Buckhorn Cholla
Cylindropuntia leptocaulis | Desert Christmas Cactus
Dasylirion leiophyllum | Green Sotol
Dasylirion texanum | Texas Sotol
Echinocereus coccineus | Claret Cup Cactus
Echinocereus dasyacanthus | Texas Rainbow Cactus
Echinocereus enneacanthus | Pitaya
Echinocereus stramineus | Strawberry Hedgehog
Echinocereus viridiflorus | Nylon Hedgehog Cactus
Hesperoyucca whipplei | Chaparral Yucca
Manfreda virginica | False Aloe
Nolina erumpens | Foothill Beargrass
Nolina parryi | Parry's Beargrass
Nolina texana | Texas Sacahuista
Opuntia humifusa | Eastern Prickly Pear
Opuntia macrocentra | Purple Prickly Pear
Opuntia macrorhiza | Plains Prickly Pear
Opuntia phaeacantha | Tulip Prickly Pear
Stenocereus thurberi | Organ Pipe Cactus
Yucca constricta | Buckley's Yucca
Yucca rupicola | Twistleaf Yucca
Yucca torreyi | Torrey Yucca
Yucca treculeana | Spanish Dagger
