Adenostoma sparsifolium | Redshanks
Artemisia cana | Silver Sagebrush
Artemisia filifolia | Sand Sagebrush
Artemisia ludoviciana | White Sagebrush
Artemisia nova | Black Sagebrush
Artemisia pycnocephala | Sandhill Sage
Baccharis halimifolia | Groundsel Tree
Chamaebatiaria millefolium | Fernbush
Chrysolepis sempervirens | Bush Chinquapin
Comarostaphylis diversifolia | Summer Holly
Dasiphora fruticosa | Shrubby Cinquefoil
Dendromecon harfordii | Island Bush Poppy
Eriogonum arborescens | Santa Cruz Island Buckwheat
Eriogonum grande | Red-flowered Buckwheat
Eriogonum inflatum | Desert Trumpet
Eriogonum racemosum | Redroot Buckwheat
Fremontodendron mexicanum | Mexican Flannelbush
Garrya wrightii | Wright's Silktassel
Gutierrezia sarothrae | Broom Snakeweed
Holodiscus dumosus | Rock Spirea
Lavatera assurgentiflora | Island Mallow
Malacothamnus mendocinensis | Mendocino Bush Mallow
Malosma laurina | Laurel Sumac
Notholithocarpus densiflorus | Tanoak
Purshia ericifolia | Heath Cliffrose
Purshia mexicana | Mexican Cliffrose
Purshia stansburiana | Stansbury Cliffrose
