Acaciella angustissima | Prairie Acacia
Anisacanthus thurberi | Desert Honeysuckle
Atriplex confertifolia | Shadscale
Atriplex hymenelytra | Desert Holly
Bauhinia lunarioides | Anacacho Orchid Tree
Capsicum annuum | Chiltepin
Ceratiola ericoides | Florida Rosemary
Colubrina texensis | Texas Snakewood
Condalia hookeri | Brasil
Coursetia glandulosa | Rosary Babybonnets
Crossosoma bigelovii | Ragged Rockflower
Dicliptera sexangularis | Sixangle Foldwing
Dodonaea viscosa | Hopbush
Ebenopsis ebano | Texas Ebony
Erythrina flabelliformis | Southwestern Coral Bean
Eysenhardtia texana | Texas Kidneywood
Fendlera rupicola | Cliff Fendlerbush
Glossopetalon spinescens | Spiny Greasebush
Havardia pallens | Tenaza
Karwinskia humboldtiana | Coyotillo
Lepechinia calycina | Pitcher Sage
Lepechinia fragrans | Island Pitcher Sage
Leucaena retusa | Goldenball Leadtree
Lycium andersonii | Anderson's Wolfberry
Lycium carolinianum | Carolina Wolfberry
Mimosa borealis | Fragrant Mimosa
Mimosa dysocarpa | Velvetpod Mimosa
Mimosa texana | Texas Mimosa
Parkinsonia aculeata | Mexican Palo Verde
Parkinsonia texana | Texas Palo Verde
Pistacia mexicana | Mexican Pistache
Poliomintha incana | Hoary Rosemarymint
Psorothamnus scoparius | Broom Dalea
Psorothamnus spinosus | Smoke Tree
Sapindus saponaria | Western Soapberry
Schaefferia cuneifolia | Desert Yaupon
Senegalia wrightii | Wright's Acacia
Sophora tomentosa | Necklace Pod
Styphnolobium affine | Eve's Necklace
Ungnadia speciosa | Mexican Buckeye
Vachellia rigidula | Blackbrush Acacia
Vauquelinia corymbosa | Slimleaf Rosewood
