Penstemon baccharifolius | Rock Penstemon
Penstemon buckleyi | Buckley's Penstemon
Penstemon canescens | Eastern Gray Beardtongue
Penstemon clevelandii | Cleveland's Beardtongue
Penstemon davidsonii | Davidson's Penstemon
Penstemon deustus | Hot-rock Penstemon
Penstemon fruticosus | Shrubby Penstemon
Penstemon laevigatus | Eastern Smooth Beardtongue
Penstemon multiflorus | Manyflower Beardtongue
Penstemon murrayanus | Cupleaf Beardtongue
Penstemon rostriflorus | Beaked Penstemon
Penstemon smallii | Small's Beardtongue
Penstemon speciosus | Royal Penstemon
Penstemon spectabilis | Showy Penstemon
Penstemon tenuis | Gulf Coast Penstemon
Penstemon thurberi | Thurber's Penstemon
Penstemon triflorus | Hill Country Penstemon
Penstemon wrightii | Wright's Penstemon
Lupinus arboreus | Yellow Bush Lupine
Lupinus bicolor | Miniature Lupine
Lupinus caudatus | Tailcup Lupine
Lupinus densiflorus | Whitewhorl Lupine
Lupinus grayi | Sierra Lupine
Lupinus havardii | Big Bend Bluebonnet
Lupinus nanus | Sky Lupine
Lupinus perennis | Wild Lupine
Lupinus sericeus | Silky Lupine
Lupinus texensis | Texas Bluebonnet
Lupinus vallicola | Valley Lupine
Mimulus bicolor | Yellow-and-white Monkeyflower
Mimulus bigelovii | Bigelow's Monkeyflower
Mimulus kelloggii | Kellogg's Monkeyflower
Mimulus lewisii | Lewis's Monkeyflower
Mimulus primuloides | Primrose Monkeyflower
Diplacus longiflorus | Southern Bush Monkeyflower
Diplacus puniceus | Red Bush Monkeyflower
