Alternanthera maritima | Seaside Joyweed
Ammophila breviligulata | American Beachgrass
Antennaria alpina | Alpine Pussytoes
Antennaria plantaginifolia | Plantainleaf Pussytoes
Apocynum androsaemifolium | Spreading Dogbane
Arnoglossum ovatum | Ovateleaf Indian Plantain
Rhododendron arborescens | Sweet Azalea
Balduina angustifolia | Coastalplain Honeycombhead
Bidens laevis | Smooth Beggarticks
Carphephorus odoratissimus | Vanillaleaf
Cirsium horridulum | Yellow Thistle
Clinopodium coccineum | Scarlet Calamint
Clinopodium douglasii | Yerba Buena
Commelina dianthifolia | Birdbill Dayflower
Commelina erecta | Whitemouth Dayflower
Conradina canescens | False Rosemary
Delphinium barbeyi | Subalpine Larkspur
Delphinium bicolor | Little Larkspur
Delphinium californicum | California Larkspur
Delphinium cardinale | Scarlet Larkspur
Delphinium carolinianum | Carolina Larkspur
Delphinium exaltatum | Tall Larkspur
Delphinium glareosum | Rockslide Larkspur
Delphinium glaucum | Sierra Larkspur
Delphinium nuttallianum | Twolobe Larkspur
Delphinium parishii | Desert Larkspur
Delphinium scaposum | Barestem Larkspur
Delphinium tricorne | Dwarf Larkspur
Delphinium variegatum | Royal Larkspur
Desmanthus illinoensis | Illinois Bundleflower
Dyschoriste oblongifolia | Oblongleaf Snakeherb
Epigaea repens | Trailing Arbutus
Ernodea littoralis | Golden Creeper
Euphorbia antisyphilitica | Candelilla
