Peritoma serrulata | Rocky Mountain Beeplant
Piriqueta cistoides | Pitted Stripeseed
Prunella vulgaris | Selfheal
Pterocaulon pycnostachyum | Blackroot
Ranunculus californicus | California Buttercup
Ranunculus cardiophyllus | Heartleaf Buttercup
Ranunculus cymbalaria | Alkali Buttercup
Rhapidophyllum hystrix | Needle Palm
Rivina humilis | Pigeonberry
Ruellia caroliniensis | Carolina Wild Petunia
Ruellia noctiflora | Nightflowering Wild Petunia
Ruellia nudiflora | Violet Wild Petunia
Scaevola plumieri | Beach Naupaka
Scutellaria integrifolia | Helmet Skullcap
Scutellaria ovata | Heartleaf Skullcap
Senna lindheimeriana | Lindheimer's Senna
Senna roemeriana | Two-leaf Senna
Senna wislizeni | Shrubby Senna
Sida rhombifolia | Cuban Jute
Silene acaulis | Moss Campion
Silene californica | Indian Pink
Silene caroliniana | Carolina Wild Pink
Silene hookeri | Hooker's Catchfly
Silene regia | Royal Catchfly
Stenaria nigricans | Diamondflowers
Tephrosia virginiana | Goat's Rue
Teucrium canadense | American Germander
Trichostema dichotomum | Forked Bluecurls
Trifolium reflexum | Buffalo Clover
Verbesina encelioides | Golden Crownbeard
Verbesina virginica | Frostweed
Waldsteinia fragarioides | Barren Strawberry
Zanthoxylum clava-herculis | Hercules' Club
Zanthoxylum fagara | Lime Pricklyash
