Agarista populifolia | Florida Hobblebush
Andromeda polifolia | Bog Rosemary
Bejaria racemosa | Tarflower
Calycanthus occidentalis | Western Sweetshrub
Catalpa bignonioides | Southern Catalpa
Catalpa speciosa | Northern Catalpa
Chamaecyparis lawsoniana | Port Orford Cedar
Chamaecyparis thyoides | Atlantic White Cedar
Chrysophyllum oliviforme | Satinleaf
Cladrastis kentukea | American Yellowwood
Cliftonia monophylla | Buckwheat Tree
Elaeagnus commutata | Silverberry
Forestiera acuminata | Eastern Swampprivet
Forestiera segregata | Florida Swampprivet
Fothergilla major | Mountain Witch Alder
Gillenia trifoliata | Bowman's Root
Halesia diptera | Two-wing Silverbell
Hesperocyparis arizonica | Arizona Cypress
Hesperocyparis forbesii | Tecate Cypress
Hesperocyparis macrocarpa | Monterey Cypress
Illicium parviflorum | Yellow Anise Tree
Leucothoe davisiae | Sierra Laurel
Malpighia glabra | Barbados Cherry
Osmanthus americanus | Devilwood
Philadelphus inodorus | Scentless Mock Orange
Pinckneya bracteata | Fevertree
Planera aquatica | Water Elm
Stewartia ovata | Mountain Camellia
Styrax redivivus | California Snowbell
Taxus floridana | Florida Yew
Torreya taxifolia | Florida Torreya
Zenobia pulverulenta | Honeycup
