Aristolochia californica | California Pipevine
Calystegia occidentalis | Chaparral False Bindweed
Clematis baldwinii | Pine Hyacinth
Clematis columbiana | Rock Clematis
Clematis lasiantha | Pipestem Clematis
Clematis ligusticifolia | Western Virgin's Bower
Clematis occidentalis | Western Blue Clematis
Clematis pitcheri | Pitcher's Leatherflower
Clematis texensis | Scarlet Leatherflower
Cocculus carolinus | Carolina Snailseed
Echites umbellatus | Devil's Potato
Gelsemium rankinii | Swamp Jessamine
Ibervillea lindheimeri | Lindheimer's Globeberry
Ipomoea alba | Moonflower
Ipomoea hederifolia | Scarlet Morning Glory
Ipomoea leptophylla | Bush Morning Glory
Ipomoea pes-caprae | Railroad Vine
Matelea gonocarpos | Anglepod Milkvine
Mikania scandens | Climbing Hempvine
Passiflora foetida | Fetid Passionflower
Passiflora lutea | Yellow Passionflower
Passiflora tenuiloba | Birdwing Passionflower
Plumbago scandens | Doctorbush
