Mentzelia lindleyi | Lindley's Blazing Star
Mirabilis nyctaginea | Wild Four O'Clock
Monardella odoratissima | Mountain Coyote Mint
Nemophila breviflora | Basin Nemophila
Nemophila maculata | Five Spot
Palafoxia callosa | Small Palafox
Palafoxia integrifolia | Coastal Plain Palafox
Pavonia lasiopetala | Rock Rose
Phacelia bolanderi | Bolander's Phacelia
Phacelia congesta | Blue Curls
Phacelia minor | Wild Canterbury Bells
Phacelia parryi | Parry's Phacelia
Phacelia sericea | Silky Phacelia
Phacelia viscida | Sticky Phacelia
Pholistoma racemosum | White Fiestaflower
Platystemon californicus | Cream Cups
Portulaca pilosa | Kiss-me-quick
Proboscidea louisianica | Devil's Claw
Psilostrophe tagetina | Woolly Paperflower
Sphaeralcea grossulariifolia | Gooseberryleaf Globemallow
Sphaeralcea munroana | Munro's Globemallow
Sphaeralcea parvifolia | Smallflower Globemallow
Stanleya pinnata | Desert Prince's Plume
Stylomecon heterophylla | Wind Poppy
Stylosanthes biflora | Sidebeak Pencilflower
Tetraneuris acaulis | Stemless Four-nerve Daisy
Tetraneuris scaposa | Four-nerve Daisy
Thelesperma filifolium | Stiff Greenthread
Thymophylla pentachaeta | Fiveneedle Pricklyleaf
Townsendia exscapa | Stemless Townsend Daisy
Wyethia amplexicaulis | Mule's Ears
Wyethia angustifolia | Narrowleaf Mule's Ears
