Actaea rubra | Red Baneberry
Aletris farinosa | White Colicroot
Aletris lutea | Yellow Colicroot
Aralia nudicaulis | Wild Sarsaparilla
Aralia racemosa | American Spikenard
Aralia spinosa | Devil's Walking Stick
Arisaema triphyllum | Jack-in-the-pulpit
Campanulastrum americanum | American Bellflower
Chamaelirium luteum | Fairywand
Claytonia caroliniana | Carolina Spring Beauty
Claytonia lanceolata | Western Spring Beauty
Claytonia sibirica | Siberian Miner's Lettuce
Clintonia borealis | Bluebead Lily
Clintonia uniflora | Queen's Cup
Coptis trifolia | Goldthread
Hepatica nobilis | Liverleaf
Hydrophyllum virginianum | Virginia Waterleaf
Osmorhiza claytonii | Sweet Cicely
Prosartes hookeri | Hooker's Fairybells
Prosartes smithii | Smith's Fairybells
Sanguisorba canadensis | Canadian Burnet
Scrophularia californica | California Figwort
Trientalis borealis | Starflower
Veratrum californicum | California False Hellebore
Veratrum virginicum | Virginia Bunchflower
Veratrum viride | Green False Hellebore
Xanthorhiza simplicissima | Yellowroot
Zigadenus fremontii | Fremont's Star Lily
