# Southeast U.S. native standouts — garden-worthy species for the SE coastal
# plain and Piedmont. One species per line: Scientific Name | Common Name
# Sources: Lady Bird Johnson Wildflower Center, regional native plant societies.

Stokesia laevis | Stokes' Aster
Callicarpa americana | American Beautyberry
Spigelia marilandica | Indian Pink
Hibiscus coccineus | Scarlet Rosemallow
Salvia coccinea | Scarlet Sage
Magnolia grandiflora | Southern Magnolia
Coreopsis gladiata | Coastal Plain Tickseed
Asclepias perennis | Aquatic Milkweed

# Already in the Ohio set — should be skipped as duplicates:
Asclepias tuberosa | Butterfly Weed
Echinacea purpurea | Purple Coneflower

# Batch 2
Muhlenbergia capillaris | Pink Muhly Grass
Ilex vomitoria | Yaupon Holly
Itea virginica | Virginia Sweetspire
Fothergilla gardenii | Dwarf Fothergilla
Aesculus parviflora | Bottlebrush Buckeye
Clethra alnifolia | Coastal Sweetpepperbush
Rudbeckia maxima | Giant Coneflower
Helianthus angustifolius | Swamp Sunflower
Baptisia alba | White Wild Indigo
Chionanthus virginicus | Fringe Tree
Sabal minor | Dwarf Palmetto
Chasmanthium latifolium | River Oats

# Batch 3
Coreopsis verticillata | Threadleaf Tickseed
Amsonia hubrichtii | Arkansas Bluestar
Yucca filamentosa | Adam's Needle
Monarda punctata | Spotted Beebalm
Solidago odora | Sweet Goldenrod
Pityopsis graminifolia | Narrowleaf Silkgrass
Crinum americanum | Swamp Lily
Lilium superbum | Turk's Cap Lily
Eragrostis spectabilis | Purple Lovegrass
Gaillardia pulchella | Firewheel

# Batch 4 — trees, shrubs, vines, forbs
Quercus virginiana | Live Oak
Quercus phellos | Willow Oak
Magnolia virginiana | Sweetbay Magnolia
Taxodium distichum | Bald Cypress
Nyssa aquatica | Water Tupelo
Persea borbonia | Redbay
Pinus palustris | Longleaf Pine
Oxydendrum arboreum | Sourwood
Halesia carolina | Carolina Silverbell
Aesculus pavia | Red Buckeye
Diospyros virginiana | Common Persimmon
Ilex opaca | American Holly
Prunus caroliniana | Carolina Laurelcherry
Crataegus marshallii | Parsley Hawthorn
Hydrangea quercifolia | Oakleaf Hydrangea
Rhododendron austrinum | Florida Flame Azalea
Rhododendron canescens | Piedmont Azalea
Kalmia latifolia | Mountain Laurel
Illicium floridanum | Florida Anise
Cyrilla racemiflora | Swamp Titi
Morella cerifera | Wax Myrtle
Vaccinium arboreum | Sparkleberry
Viburnum nudum | Possumhaw Viburnum
Calycanthus floridus | Carolina Allspice
Aronia arbutifolia | Red Chokeberry
Leucothoe axillaris | Coastal Doghobble
Lyonia lucida | Fetterbush
Gelsemium sempervirens | Carolina Jessamine
Bignonia capreolata | Crossvine
Lonicera sempervirens | Coral Honeysuckle
Wisteria frutescens | American Wisteria
Hibiscus moscheutos | Crimsoneyed Rosemallow
Iris virginica | Virginia Iris
Pontederia cordata | Pickerelweed
Chamaecrista fasciculata | Partridge Pea
Salvia lyrata | Lyreleaf Sage

# Batch 5 — wildflowers, carnivores, grasses, ferns
Asclepias humistrata | Sandhill Milkweed
Asclepias incarnata | Swamp Milkweed
Lobelia cardinalis | Cardinal Flower
Lilium michauxii | Carolina Lily
Lilium catesbaei | Pine Lily
Zephyranthes atamasca | Atamasco Lily
Hymenocallis caroliniana | Carolina Spiderlily
Silphium asteriscus | Starry Rosinweed
Vernonia angustifolia | Tall Ironweed
Conoclinium coelestinum | Blue Mistflower
Helianthus debilis | Beach Sunflower
Coreopsis tinctoria | Plains Coreopsis
Echinacea pallida | Pale Purple Coneflower
Liatris elegans | Pinkscale Blazing Star
Chrysopsis mariana | Maryland Goldenaster
Penstemon australis | Eustis Lake Beardtongue
Mimosa strigillosa | Sunshine Mimosa
Senna marilandica | Maryland Senna
Lupinus diffusus | Sky-blue Lupine
Sagittaria latifolia | Broadleaf Arrowhead
Rhexia virginica | Virginia Meadow Beauty
Solidago sempervirens | Seaside Goldenrod
Solidago rugosa | Wrinkleleaf Goldenrod
Chrysogonum virginianum | Green and Gold
Phlox subulata | Moss Phlox
Tradescantia virginiana | Virginia Spiderwort
Packera aurea | Golden Ragwort
Symphyotrichum carolinianum | Climbing Aster
Sarracenia flava | Yellow Pitcherplant
Sarracenia purpurea | Purple Pitcherplant
Dionaea muscipula | Venus Flytrap
Drosera capillaris | Pink Sundew
Schizachyrium scoparium | Little Bluestem
Andropogon ternarius | Splitbeard Bluestem
Andropogon glomeratus | Bushy Bluestem
Tripsacum dactyloides | Eastern Gamagrass
Aristida stricta | Wiregrass
Woodwardia areolata | Netted Chain Fern
Thelypteris kunthii | Southern Shield Fern
Osmunda spectabilis | Royal Fern
